track_name,artist_name,valence,energy,danceability,tempo
Cruel Summer,Lady Gaga,0.6156354589595345,0.3440306864430754,0.5938378787577471,139.0269802179639
Shape of You (Remix),Ed Sheeran,0.499996616136798,0.638459188993032,0.739459211182931,140.92123936348585
Starboy,Rihanna,0.618607530492636,0.8147854622951888,0.6337283300447288,142.02885268725214
Senorita,Harry Styles,0.3141104627643281,0.3629795355988231,0.672426073571682,119.62822888935305
Greedy,Maroon 5,0.9025159779864478,0.5600381876526568,0.7753710011602241,111.39345916117823
Creepin' (Live),Dua Lipa,0.2416794010866928,0.745764584503027,0.8468684303465528,91.50368796739903
Dance Monkey,Kendrick Lamar,0.7582342954533831,0.7762261383716978,0.614929219380096,136.27506850011258
Closer,Lady Gaga,0.36838946817435975,0.7376811231672394,0.5205353031167782,121.3137934832298
Photograph,Ariana Grande,0.4327478644229819,0.8213562073538115,0.8898085957250269,103.12409084187894
Flowers,Ariana Grande,0.720395657759638,0.5123371493011429,0.5736486103370453,108.3908711346832
Paint The Town Red (Live),Arctic Monkeys,0.8473196668199093,0.624575507349516,0.8153784512608977,118.6324928992763
Photograph (Radio Edit),Lady Gaga,0.19644526837859508,0.2339800058741868,0.9013822399088909,100.3710223617405
Creepin' (Remix),Katy Perry,0.5971642359628521,0.48158511462228726,0.9297895205259887,120.97163839674442
Blinding Lights,Bad Bunny,0.53789069824926,0.6971317614082723,0.7427253412998186,87.59797032234673
Strangers (Live),Shakira,0.24901316313785007,0.39446427128402084,0.8568837197305843,109.35171828233197
Watermelon Sugar (Remix),Anitta,0.635354542418434,0.877053616774096,0.5777926494350619,96.7624470715081
Bad Guy,Dua Lipa,0.26576237332913755,0.7185556690913222,0.656974419334876,124.00710875751807
Watermelon Sugar,Adele,0.5154030943591819,0.9681545314430285,0.669719172959526,100.44325950190684
Closer (Live),J Balvin,0.38153366831030366,0.5091855127760975,0.603264567187886,108.81990184027886
Sunflower (Acoustic),Beyoncé,0.4381079245774021,0.800101440621775,0.6651791801600258,165.1957562331326
Stay (Remix),Beyoncé,0.4183952466696299,0.7312571694756543,0.7833600403626279,137.29997669807724
Dance Monkey (Radio Edit),Queen,0.6930503377574219,0.4908323118722174,0.3926556524591413,132.01270679339973
Anti-Hero,Ed Sheeran,0.26002611341832005,0.4160646294850437,0.8247375444230048,145.95159450032165
